# 荷兰语单词列表 (Dutch Words List)
# 格式: id|荷兰语单词
# 总单词数: 1200个
# 文件生成时间: 2026-01-30

545|middag
546|avond
547|nacht
548|middernacht
549|middagpauze
550|vakantie
551|feestdag
552|verjaardag
553|trouwdag
554|herinnering
555|verleden
556|heden
557|toekomst
558|snel
559|langzaam
560|vaak
561|zelden
562|soms
563|altijd
564|nooit
565|weer
566|nog
567|al
568|net
569|straks
570|binnenkort
571|straat
572|weg
573|plein
574|park
575|tuin
576|bos
577|berg
578|heuvel
579|vallei
580|rivier
581|meer
582|zee
583|oceaan
584|strand
585|eiland
586|continent
587|land
588|stad
589|dorp
590|wijk
591|buurt
592|centrum
593|voorstad
594|fabriek
595|magazijn
596|museum
597|theater
598|cinema
599|restaurant
600|café
601|boom
602|plant
603|bloem
604|gras
605|blad
606|tak
607|wortel
608|zaad
609|vrucht
610|natuur
611|milieu
612|vervuiling
613|recycling
614|afval
615|plastic
616|papier
617|glas
618|metaal
619|energie
620|zonne-energie
621|windenergie
622|waterkracht
623|klimaat
624|weer
625|temperatuur
626|graad
627|vochtigheid
628|lucht
629|zuurstof
630|koolstofdioxide
631|aardappel
632|ui
633|knoflook
634|wortel
635|selderij
636|spinazie
637|sla
638|tomaat
639|komkommer
640|paprika
641|aubergine
642|courgette
643|broccoli
644|bloemkool
645|spruitjes
646|erwt
647|boon
648|maïs
649|asperge
650|pompoen
651|appel
652|peer
653|banaan
654|sinaasappel
655|mandarijn
656|citroen
657|limoen
658|druif
659|aardbei
660|framboos
661|bosbes
662|kers
663|perzik
664|abrikoos
665|meloen
666|watermeloen
667|ananas
668|mango
669|kiwi
670|vijg
671|rundvlees
672|varkensvlees
673|kipfilet
674|lam
675|worst
676|ham
677|spek
678|visfilet
679|garnalen
680|krab
681|kreeft
682|mossel
683|oester
684|inktvis
685|zalm
686|forel
687|tonijn
688|kabeljauw
689|sardine
690|haring
691|gezondheid
692|ziekte
693|koorts
694|hoofdpijn
695|buikpijn
696|keelpijn
697|verkoudheid
698|griep
699|allergie
700|astma
701|diabetes
702|hartziekte
703|kanker
704|operatie
705|ziekenhuis
706|arts
707|verpleegkundige
708|tandarts
709|apotheker
710|medicijn
711|pil
712|injectie
713|vaccin
714|bandage
715|pleister
716|thermometer
717|bloeddruk
718|cholesterol
719|vitamine
720|mineraal
721|muziek
722|lied
723|melodie
724|ritme
725|harmonie
726|instrument
727|piano
728|gitaar
729|viool
730|trompet
731|drum
732|fluit
733|saxofoon
734|orkest
735|koor
736|componist
737|dirigent
738|concert
739|optreden
740|kunst
741|schilderij
742|beeldhouwwerk
743|fotografie
744|film
745|drama
746|poëzie
747|literatuur
748|dichter
749|schrijver
750|artiest
751|sport
752|spel
753|hobby
754|reizen
755|toerisme
756|vakantie
757|camping
758|picknick
759|barbecue
760|feest
761|verjaardagsfeest
762|bruiloft
763|receptie
764|carnaval
765|kerst
766|pasen
767|sinterklaas
768|koningsdag
769|vrijmarkt
770|kermis
771|attractie
772|achtbaan
773|reuzenrad
774|spookhuis
775|dierentuin
776|aquarium
777|planetarium
778|museum
779|galerij
780|tentoonstelling
781|technologie
782|internet
783|website
784|app
785|software
786|hardware
787|programma
788|besturingssysteem
789|database
790|server
791|netwerk
792|wifi
793|bluetooth
794|usb
795|cloud
796|artificiële intelligentie
797|robot
798|drone
799|virtuele realiteit
800|augmented reality
801|bitcoin
802|blockchain
803|cryptocurrency
804|e-commerce
805|online shoppen
806|social media
807|facebook
808|instagram
809|twitter
810|youtube
811|Nederland
812|Nederlands
813|Hollands
814|Vlaams
815|België
816|koningshuis
817|koning
818|koningin
819|prins
820|prinses
821|vlag
822|volkslied
823|tulpen
824|klompen
825|kaas
826|Goudse kaas
827|Edammer kaas
828|stroopwafel
829|poffertjes
830|oliebollen
831|hagelslag
832|speculaas
833|pepernoten
834|bitterballen
835|kroket
836|friet
837|patat
838|mayonaise
839|pindasaus
840|haring
841|zuivel
842|melk
843|boter
844|yoghurt
845|kwark
846|poffertjespan
847|pannenkoek
848|erwtensoep
849|hutspot
850|stamppot
851|zoeken
852|vinden
853|verliezen
854|winnen
855|geven
856|nemen
857|brengen
858|halen
859|openen
860|sluiten
861|starten
862|stoppen
863|veranderen
864|blijven
865|vertrekken
866|aankomen
867|wachten
868|verwachten
869|verrassen
870|teleurstellen
871|helpen
872|storen
873|aanmoedigen
874|ontmoedigen
875|bewonderen
876|kritiek geven
877|complimenteren
878|bekritiseren
879|prijzen
880|afkeuren
881|snel
882|langzaam
883|zacht
884|hard
885|zwaar
886|licht
887|dun
888|dik
889|kort
890|lang
891|breed
892|smal
893|hoog
894|laag
895|diep
896|ondiep
897|scherp
898|stomp
899|helder
900|donker
901|fris
902|muf
903|vers
904|oud
905|nieuw
906|modern
907|traditioneel
908|elegant
909|slordig
910|netjes
911|vrijheid
912|gelijkheid
913|rechtvaardigheid
914|democratie
915|dictatuur
916|vrijheid van meningsuiting
917|mensenrechten
918|burgerrechten
919|wet
920|rechter
921|advocaat
922|rechterlijk
923|straf
924|gevangenis
925|politieagent
926|detective
927|misdaad
928|diefstal
929|inbraak
930|overval
931|moord
932|geweld
933|vrede
934|oorlog
935|conflict
936|onderhandeling
937|verdrag
938|alliantie
939|vriendschap
940|liefde
941|weerbericht
942|weersvoorspelling
943|zonneschijn
944|bewolking
945|onweer
946|bliksem
947|donder
948|mist
949|ijzel
950|hagel
951|tornado
952|orkaan
953|aardbeving
954|vulkaan
955|tsunami
956|overstroming
957|droogte
958|brand
959|explosie
960|ongeluk
961|nood
962|redding
963|hulpdienst
964|noodnummer
965|112
966|ambulancepersoneel
967|brandweerman
968|politieagent
969|reddingswerker
970|EHBO
971|gracht
972|grachtengordel
973|molen
974|windmolen
975|watermolen
976|polder
977|dijk
978|sluis
979|haven
980|scheepvaart
981|visserij
982|landbouw
983|veeteelt
984|akker
985|weiland
986|stallen
987|schuur
988|hooi
989|hooiberg
990|geiten
991|schapen
992|varkens
993|kippen
994|eenden
995|ganzen
996|bijen
997|honing
998|kaasmakerij
999|kaasmarkt
1000|kaasboer
1001|economie
1002|financiën
1003|bank
1004|verzekering
1005|belegging
1006|aandeel
1007|obligatie
1008|rente
1009|inflatie
1010|definitie
1011|wiskunde
1012|getal
1013|vergelijking
1014|formule
1015|geometrie
1016|algebra
1017|statistiek
1018|kans
1019|waarschijnlijkheid
1020|wetenschap
1021|natuurkunde
1022|scheikunde
1023|biologie
1024|astronomie
1025|geologie
1026|geschiedenis
1027|aardrijkskunde
1028|maatschappijleer
1029|filosofie
1030|psychologie
1031|architectuur
1032|bouw
1033|constructie
1034|fundering
1035|muur
1036|plafond
1037|vloer
1038|dak
1039|raam
1040|kozijn
1041|glas
1042|steen
1043|baksteen
1044|beton
1045|cement
1046|zand
1047|grind
1048|hout
1049|metaal
1050|staal
1051|goedenacht
1052|goedemorgen
1053|goedemiddag
1054|goedeavond
1055|alsjeblieft
1056|dank u wel
1057|graag gedaan
1058|excuseer
1059|pardon
1060|sorry
1061|geen probleem
1062|hoe gaat het
1063|prima
1064|goed
1065|slecht
1066|zo zo
1067|waar
1068|wanneer
1069|wie
1070|wat
1071|waarom
1072|hoe
1073|welke
1074|hoeveel
1075|hoeveel kost het
1076|woonkamer
1077|slaapkamer
1078|keuken
1079|eetkamer
1080|badkamer
1081|toilet
1082|gang
1083|trap
1084|kelder
1085|zolder
1086|balkon
1087|terras
1088|tuin
1089|garage
1090|schuur
1091|berging
1092|wasruimte
1093|stookruimte
1094|meterkast
1095|voordeur
1096|achterdeur
1097|zijdeur
1098|raam
1099|kozijn
1100|rolluik
1101|theepot
1102|koffiezetapparaat
1103|waterkoker
1104|blender
1105|mixer
1106|keukenmachine
1107|broodrooster
1108|wafelijzer
1109|grill
1110|frituurpan
1111|stoomoven
1112|slowcooker
1113|keukenweegschaal
1114|maatbeker
1115|zeef
1116|vergiet
1117|snijplank
1118|vleeshamer
1119|kaasschaaf
1120|appelschiller
1121|schoonmaakmiddel
1122|allesreiniger
1123|glasreiniger
1124|badkamerreiniger
1125|wc-reiniger
1126|ontstopper
1127|spons
1128|doekje
1129|microvezeldoek
1130|dweil
1131|emmer
1132|schrobber
1133|stofdoek
1134|luchtverfrisser
1135|ontsmettingsmiddel
1136|bleekmiddel
1137|wasmiddel
1138|wasverzachter
1139|strijkmiddel
1140|strijkijzer
1141|fax
1142|scanner
1143|stapelaar
1144|nietmachine
1145|perforator
1146|paperclip
1147|nietjes
1148|post-it
1149|brievenbak
1150|archiefkast
1151|kantoorstoel
1152|bureaublad
1153|tafellamp
1154|telefoonhoorn
1155|headset
1156|webcam
1157|microfoon
1158|luidspreker
1159|usb-stick
1160|externe harde schijf
1161|leeuw
1162|tijger
1163|beer
1164|wolf
1165|vos
1166|das
1167|egel
1168|eekhoorn
1169|hert
1170|ree
1171|zwijn
1172|das
1173|marter
1174|wezel
1175|otter
1176|bevers
1177|mus
1178|merel
1179|roodborstje
1180|specht
1181|uil
1182|havik
1183|valk
1184|arend
1185|gier
1186|papegaai
1187|kanarie
1188|duif
1189|meeuw
1190|zwaan
1191|samen
1192|alleen
1193|samenwerking
1194|competitie
1195|harmonie
1196|balans
1197|evenwicht
1198|verandering
1199|vooruitgang
1200|succes
